Year,Pred_North,Pred_South
1979,12.148,11.620
1980,12.173,11.622
1981,12.211,11.623
1982,12.236,11.624
1983,12.221,11.624
1984,12.157,11.621
1985,12.130,11.620
1986,12.094,11.618
1987,12.027,11.615
1988,11.950,11.612
1989,11.911,11.610
1990,11.879,11.609
1991,11.866,11.608
1992,11.876,11.608
1993,11.867,11.608
1994,11.843,11.607
1995,11.778,11.604
1996,11.731,11.602
1997,11.685,11.600
1998,11.669,11.599
1999,11.650,11.598
2000,11.570,11.595
2001,11.539,11.594
2002,11.498,11.592
2003,11.374,11.586
2004,11.243,11.581
2005,11.132,11.576
2006,11.029,11.571
2007,10.910,11.566
2008,10.890,11.565
2009,10.932,11.567
2010,10.730,11.558
2011,10.623,11.553
2012,10.576,11.551
2013,10.505,11.548
2014,10.484,11.547
2015,10.497,11.548
2016,10.485,11.547
2017,10.422,11.544
2018,10.328,11.540
2019,10.318,11.540
2020,10.512,11.548
2021,10.313,11.540
2022,10.300,11.539
2023,10.221,11.535
