Date,Value
1979-01,15.414
1980-01,14.862
1981-01,14.91
1982-01,15.177
1983-01,14.942
1984-01,14.473
1985-01,14.725
1986-01,14.89
1987-01,14.97
1988-01,
1989-01,14.955
1990-01,14.783
1991-01,14.364
1992-01,14.643
1993-01,14.896
1994-01,14.73
1995-01,14.586
1996-01,14.181
1997-01,14.417
1998-01,14.721
1999-01,14.359
2000-01,14.22
2001-01,14.203
2002-01,14.273
2003-01,14.391
2004-01,14.026
2005-01,13.661
2006-01,13.466
2007-01,13.703
2008-01,13.887
2009-01,13.914
2010-01,13.739
2011-01,13.464
2012-01,13.729
2013-01,13.703
2014-01,13.648
2015-01,13.602
2016-01,13.457
2017-01,13.19
2018-01,13.077
2019-01,13.567
2020-01,13.636
2021-01,13.501
2022-01,13.872
2023-01,13.346
1979-02,16.175
1980-02,15.955
1981-02,15.604
1982-02,15.974
1983-02,16.006
1984-02,15.299
1985-02,15.466
1986-02,15.785
1987-02,16.05
1988-02,15.583
1989-02,15.495
1990-02,15.578
1991-02,15.249
1992-02,15.462
1993-02,15.686
1994-02,15.562
1995-02,15.226
1996-02,15.155
1997-02,15.437
1998-02,15.746
1999-02,15.309
2000-02,15.141
2001-02,15.211
2002-02,15.342
2003-02,15.193
2004-02,14.914
2005-02,14.373
2006-02,14.325
2007-02,14.513
2008-02,14.953
2009-02,14.812
2010-02,14.581
2011-02,14.363
2012-02,14.553
2013-02,14.723
2014-02,14.418
2015-02,14.401
2016-02,14.203
2017-02,14.12
2018-02,13.967
2019-02,14.394
2020-02,14.642
2021-02,14.39
2022-02,14.612
2023-02,14.176
1979-03,16.342
1980-03,16.041
1981-03,15.632
1982-03,16.044
1983-03,16.085
1984-03,15.584
1985-03,15.886
1986-03,15.91
1987-03,15.816
1988-03,15.957
1989-03,15.423
1990-03,15.867
1991-03,15.416
1992-03,15.481
1993-03,15.813
1994-03,15.554
1995-03,15.26
1996-03,15.123
1997-03,15.467
1998-03,15.598
1999-03,15.398
2000-03,15.225
2001-03,15.516
2002-03,15.349
2003-03,15.485
2004-03,14.993
2005-03,14.687
2006-03,14.421
2007-03,14.542
2008-03,15.179
2009-03,14.984
2010-03,15.137
2011-03,14.546
2012-03,15.196
2013-03,15.032
2014-03,14.758
2015-03,14.37
2016-03,14.4
2017-03,14.29
2018-03,14.298
2019-03,14.574
2020-03,14.73
2021-03,14.658
2022-03,14.586
2023-03,14.44
1979-04,15.447
1980-04,15.429
1981-04,15.01
1982-04,15.466
1983-04,15.172
1984-04,15.015
1985-04,15.357
1986-04,15.059
1987-04,15.211
1988-04,15.123
1989-04,14.328
1990-04,14.65
1991-04,14.86
1992-04,14.677
1993-04,15.077
1994-04,14.888
1995-04,14.449
1996-04,14.216
1997-04,14.563
1998-04,14.892
1999-04,15.084
2000-04,14.558
2001-04,14.857
2002-04,14.299
2003-04,14.512
2004-04,13.987
2005-04,14.09
2006-04,13.906
2007-04,13.845
2008-04,14.352
2009-04,14.496
2010-04,14.659
2011-04,14.108
2012-04,14.626
2013-04,14.299
2014-04,14.088
2015-04,13.893
2016-04,13.681
2017-04,13.753
2018-04,13.696
2019-04,13.434
2020-04,13.621
2021-04,13.792
2022-04,13.986
2023-04,13.992
1979-05,13.857
1980-05,13.793
1981-05,13.802
1982-05,13.973
1983-05,13.491
1984-05,13.577
1985-05,14.073
1986-05,13.379
1987-05,13.743
1988-05,13.561
1989-05,13.044
1990-05,13.226
1991-05,13.473
1992-05,13.216
1993-05,13.368
1994-05,13.624
1995-05,12.972
1996-05,13.094
1997-05,13.177
1998-05,13.59
1999-05,13.751
2000-05,13.153
2001-05,13.51
2002-05,12.971
2003-05,13.016
2004-05,12.558
2005-05,12.911
2006-05,12.517
2007-05,12.78
2008-05,12.974
2009-05,13.187
2010-05,12.866
2011-05,12.681
2012-05,13.012
2013-05,12.997
2014-05,12.701
2015-05,12.468
2016-05,11.924
2017-05,12.631
2018-05,12.232
2019-05,12.186
2020-05,12.343
2021-05,12.682
2022-05,12.879
2023-05,12.835
1979-06,12.53
1980-06,12.205
1981-06,12.43
1982-06,12.476
1983-06,12.296
1984-06,12.152
1985-06,12.219
1986-06,11.976
1987-06,12.486
1988-06,11.943
1989-06,12.245
1990-06,11.641
1991-06,12.108
1992-06,12.147
1993-06,11.871
1994-06,12.016
1995-06,11.44
1996-06,12.084
1997-06,11.738
1998-06,11.706
1999-06,11.779
2000-06,11.665
2001-06,11.456
2002-06,11.583
2003-06,11.604
2004-06,11.447
2005-06,11.162
2006-06,10.92
2007-06,11.22
2008-06,11.208
2009-06,11.32
2010-06,10.585
2011-06,10.749
2012-06,10.674
2013-06,11.36
2014-06,11.033
2015-06,10.879
2016-06,10.413
2017-06,10.756
2018-06,10.778
2019-06,10.594
2020-06,10.593
2021-06,10.765
2022-06,10.875
2023-06,10.963
1979-07,10.311
1980-07,10.1
1981-07,10.271
1982-07,10.367
1983-07,10.57
1984-07,9.977
1985-07,9.744
1986-07,10.146
