Year,Sea_Ice_Extent,CO2
1979,12.328,20.031861684352236
1980,12.337,19.78250886970149
1981,12.127,19.41172449479576
1982,12.447,19.164990175102968
1983,12.332,19.310267766172142
1984,11.91,19.942496821868325
1985,11.995,20.20656267328064
1986,12.203,20.56553523321909
1987,12.135,21.224640642712156
1988,11.923,21.984330890672613
1989,11.967,22.370547936871077
1990,11.694,22.6804076458686
1991,11.749,22.80953629763656
1992,12.11,22.70974381823781
1993,11.923,22.80288953655809
1994,12.011,23.033288262428467
1995,11.415,23.67935568549968
1996,11.841,24.14546158669484
1997,11.668,24.59816550186461
1998,11.757,24.75632052481369
1999,11.691,24.93961669850151
2000,11.508,25.725448476800583
2001,11.6,26.031174557958064
2002,11.363,26.43330143933464
2003,11.397,27.65683270282675
2004,11.24,28.9487583230062
2005,10.907,30.04455531704507
2006,10.773,31.06510816335793
2007,10.474,32.2325304287898
2008,10.978,32.431271463193696
2009,10.932,32.020697928627825
2010,10.711,34.00367076736887
2011,10.483,35.05958972836099
2012,10.406,35.52172903371658
2013,10.897,36.22115983302197
2014,10.79,36.42779094866711
2015,10.566,36.30049064931545
2016,10.163,36.42367557383895
2017,10.393,37.04748470955855
2018,10.355,37.97456819275192
2019,10.201,38.06645052742118
2020,10.15,36.154321504134
2021,10.552,38.1210297863798
2022,10.661,38.24663894134803
2023,10.47,39.0239527073468
