Date,Std_AAO
1979-01,0.209
1979-02,0.356
1979-03,0.899
1979-04,0.678
1979-05,0.724
1979-06,1.7
1979-07,2.412
1979-08,0.546
1979-09,0.629
1979-10,0.16
1979-11,-0.423
1979-12,-0.951
1980-01,-0.447
1980-02,-0.98
1980-03,-1.424
1980-04,-2.068
1980-05,-0.479
1980-06,0.286
1980-07,-1.944
1980-08,-0.997
1980-09,-1.701
1980-10,0.577
1980-11,-2.013
1980-12,-0.356
1981-01,0.231
1981-02,0.039
1981-03,-0.966
1981-04,-1.462
1981-05,-0.344
1981-06,0.352
1981-07,-0.986
1981-08,-2.118
1981-09,-1.509
1981-10,-0.26
1981-11,0.626
1981-12,1.116
1982-01,-0.554
1982-02,0.277
1982-03,1.603
1982-04,1.531
1982-05,0.118
1982-06,0.92
1982-07,-0.415
1982-08,0.779
1982-09,1.58
1982-10,-0.702
1982-11,-0.849
1982-12,-1.934
1983-01,-1.34
1983-02,-1.081
1983-03,0.166
1983-04,0.149
1983-05,-0.437
1983-06,-0.263
1983-07,1.114
1983-08,0.792
1983-09,-0.696
1983-10,1.193
1983-11,0.727
1983-12,0.475
1984-01,-1.098
1984-02,-0.544
1984-03,0.251
1984-04,-0.204
1984-05,-1.237
1984-06,0.426
1984-07,0.89
1984-08,-0.548
1984-09,0.327
1984-10,-0.009
1984-11,-0.024
1984-12,-1.476
1985-01,-0.795
1985-02,0.215
1985-03,-0.134
1985-04,0.031
1985-05,-0.066
1985-06,-0.331
1985-07,1.914
1985-08,0.595
1985-09,1.507
1985-10,0.471
1985-11,1.085
1985-12,1.24
1986-01,0.158
1986-02,-1.588
1986-03,-0.77
1986-04,-0.087
1986-05,-1.847
1986-06,-0.619
1986-07,0.089
1986-08,-0.157
1986-09,0.849
1986-10,0.306
1986-11,-0.222
1986-12,0.886
1987-01,-0.95
1987-02,-0.708
1987-03,-0.133
1987-04,-0.286
1987-05,0.039
1987-06,-0.702
1987-07,-1.531
1987-08,1.485
1987-09,-0.799
1987-10,0.455
1987-11,1.06
1987-12,0.272
1988-01,-0.612
1988-02,0.551
1988-03,-0.219
1988-04,-0.077
1988-05,-0.749
1988-06,-1.055
1988-07,0.576
1988-08,-0.745
1988-09,-0.689
1988-10,-2.314
1988-11,0.401
1988-12,1.074
1989-01,0.618
1989-02,0.849
1989-03,0.632
1989-04,-0.573
1989-05,2.691
1989-06,1.995
1989-07,1.458
1989-08,-0.132
1989-09,-0.121
1989-10,0.136
1989-11,0.572
1989-12,-0.445
1990-01,-0.352
1990-02,1.151
1990-03,0.414
1990-04,-1.879
1990-05,-1.803
1990-06,0.093
1990-07,-1.215
1990-08,0.466
1990-09,1.482
1990-10,0.139
1990-11,-0.359
1990-12,-0.312
1991-01,0.869
1991-02,-0.852
1991-03,0.522
1991-04,-0.639
1991-05,-0.539
1991-06,-1.155
1991-07,-1.22
1991-08,0.036
1991-09,-0.513
1991-10,-0.623
1991-11,-0.804
1991-12,-2.067
1992-01,0.073
1992-02,-1.627
1992-03,-1.01
1992-04,-0.439
1992-05,-2.032
1992-06,-2.193
1992-07,-0.566
1992-08,-0.35
1992-09,0.435
1992-10,-0.319
1992-11,0.122
1992-12,0.244
1993-01,-2.021
1993-02,0.437
1993-03,-0.378
1993-04,0.087
1993-05,1.26
1993-06,1.218
1993-07,1.957
1993-08,1.083
1993-09,1.061
1993-10,0.748
1993-11,0.324
1993-12,1.028
1994-01,0.723
1994-02,1.157
1994-03,0.693
1994-04,-0.052
1994-05,-0.153
1994-06,-1.682
1994-07,-0.492
1994-08,1.91
1994-09,-0.947
1994-10,-0.578
1994-11,-0.793
1994-12,0.933
1995-01,1.448
1995-02,0.533
1995-03,-0.154
1995-04,0.649
1995-05,1.397
1995-06,-0.802
1995-07,-3.01
1995-08,-0.696
1995-09,1.173
1995-10,-0.057
1995-11,0.143
1995-12,1.47
1996-01,0.332
1996-02,-0.525
1996-03,0.543
1996-04,0.115
1996-05,0.983
1996-06,-0.252
1996-07,0.021
1996-08,-1.502
1996-09,-1.314
1996-10,0.966
1996-11,-1.667
1996-12,-0.023
1997-01,0.369
1997-02,-0.244
1997-03,0.701
1997-04,-0.458
1997-05,1.028
1997-06,-0.458
1997-07,0.78
1997-08,0.768
1997-09,0.122
1997-10,-0.595
1997-11,-1.905
1997-12,-0.835
1998-01,0.413
1998-02,0.39
1998-03,0.736
1998-04,1.927
1998-05,-0.038
1998-06,1.031
1998-07,1.45
1998-08,0.904
1998-09,-0.122
1998-10,0.4
1998-11,0.817
1998-12,1.435
1999-01,0.999
1999-02,0.456
1999-03,0.18
1999-04,0.949
1999-05,1.639
1999-06,-1.325
1999-07,0.316
1999-08,0.042
1999-09,-0.012
1999-10,1.653
1999-11,0.901
1999-12,1.784
2000-01,1.273
2000-02,0.62
2000-03,0.133
2000-04,0.233
2000-05,1.127
2000-06,0.117
2000-07,0.059
2000-08,-0.674
2000-09,-1.853
2000-10,0.347
2000-11,-1.537
2000-12,-1.29
2001-01,-0.471
2001-02,-0.265
2001-03,-0.555
2001-04,0.515
2001-05,-0.262
2001-06,0.386
2001-07,-0.928
2001-08,0.91
2001-09,1.161
2001-10,1.277
2001-11,0.996
2001-12,1.474
2002-01,0.747
2002-02,1.334
2002-03,-1.823
2002-04,0.165
2002-05,-2.798
2002-06,-1.112
2002-07,-0.591
2002-08,-0.099
2002-09,-0.864
2002-10,-2.564
2002-11,-0.924
2002-12,1.308
2003-01,-0.988
2003-02,-0.357
2003-03,-0.188
2003-04,0.224
2003-05,0.385
2003-06,-0.775
2003-07,0.727
2003-08,0.678
2003-09,-0.323
2003-10,-0.025
2003-11,-0.712
2003-12,-1.323
2004-01,0.807
2004-02,-1.182
2004-03,0.432
2004-04,0.151
2004-05,0.46
2004-06,1.195
2004-07,1.474
2004-08,-0.071
2004-09,0.254
2004-10,-0.042
2004-11,-0.242
2004-12,-0.973
2005-01,-0.129
2005-02,1.243
2005-03,0.158
2005-04,0.355
2005-05,-0.297
2005-06,-1.428
2005-07,-0.252
2005-08,0.228
2005-09,0.241
2005-10,0.031
2005-11,-0.551
2005-12,-1.968
2006-01,0.339
2006-02,-0.211
2006-03,0.501
2006-04,-0.169
2006-05,1.695
2006-06,0.438
2006-07,0.926
2006-08,-1.727
2006-09,-0.324
2006-10,0.879
2006-11,0.101
2006-12,0.638
2007-01,-0.083
2007-02,0.075
2007-03,-0.57
2007-04,-1.035
2007-05,-0.612
2007-06,-1.198
2007-07,-2.631
2007-08,-0.108
2007-09,0.031
2007-10,-0.434
2007-11,-0.984
2007-12,1.929
2008-01,1.208
2008-02,1.147
2008-03,0.587
2008-04,-0.873
2008-05,-0.49
2008-06,1.348
2008-07,0.32
2008-08,0.087
2008-09,1.386
2008-10,1.215
2008-11,0.92
2008-12,1.194
2009-01,0.963
2009-02,0.456
2009-03,0.605
2009-04,0.029
2009-05,-0.733
2009-06,-0.47
2009-07,-1.234
2009-08,-0.686
2009-09,-0.017
2009-10,0.085
2009-11,-1.915
2009-12,0.607
2010-01,-0.757
2010-02,-0.775
2010-03,0.108
2010-04,0.377
2010-05,1.021
2010-06,2.071
2010-07,2.424
2010-08,1.51
2010-09,0.402
2010-10,1.335
2010-11,1.516
2010-12,0.205
2011-01,0.052
2011-02,1.074
2011-03,-0.296
2011-04,-0.87
2011-05,1.266
2011-06,-0.099
2011-07,-1.384
2011-08,-1.202
2011-09,-1.25
2011-10,0.388
2011-11,-0.908
2011-12,2.573
2012-01,1.583
2012-02,-0.283
2012-03,0.275
2012-04,0.666
2012-05,0.153
2012-06,-0.197
2012-07,1.259
2012-08,0.489
2012-09,0.562
2012-10,-0.444
2012-11,-1.701
2012-12,-0.764
2013-01,0.071
2013-02,0.716
2013-03,1.375
2013-04,0.611
2013-05,0.36
2013-06,-0.271
2013-07,0.945
2013-08,-1.561
2013-09,-1.658
2013-10,-0.458
2013-11,0.189
2013-12,0.061
2014-01,-0.683
