Annual,Year
11.7,1979
11.23,1980
11.435,1981
11.64,1982
11.389,1983
11.454,1984
11.618,1985
11.088,1986
11.554,1987
12.131,1988
11.426,1989
11.41,1990
11.545,1991
11.399,1992
11.42,1993
11.774,1994
11.795,1995
11.769,1996
11.39,1997
11.738,1998
11.761,1999
11.747,2000
11.673,2001
11.222,2002
11.969,2003
11.961,2004
11.695,2005
11.461,2006
11.687,2007
12.239,2008
12.049,2009
12.107,2010
11.501,2011
12.004,2012
12.524,2013
12.776,2014
12.414,2015
11.202,2016
10.749,2017
11.0,2018
10.876,2019
11.602,2020
11.579,2021
10.726,2022
9.853,2023
