Year,Estim_North_linReg,Estim_South_LinReg,Estim_South_multiReg,Estim_South_polyReg
1979,12.148,11.620,11.579,11.374
1980,12.173,11.622,11.009,11.342
1981,12.211,11.623,11.131,11.293
1982,12.236,11.624,11.724,11.260
1983,12.221,11.624,11.648,11.280
1984,12.157,11.621,11.590,11.363
1985,12.130,11.620,11.598,11.396
1986,12.094,11.618,11.695,11.439
1987,12.027,11.615,11.596,11.513
1988,11.950,11.612,11.770,11.591
1989,11.911,11.610,11.395,11.627
1990,11.879,11.609,11.424,11.655
1991,11.866,11.608,11.255,11.666
1992,11.876,11.608,11.525,11.657
1993,11.867,11.608,11.441,11.665
1994,11.843,11.607,11.568,11.685
1995,11.778,11.604,11.709,11.734
1996,11.731,11.602,11.778,11.767
1997,11.685,11.600,11.416,11.795
1998,11.669,11.599,12.099,11.804
1999,11.650,11.598,11.975,11.814
2000,11.570,11.595,12.052,11.852
2001,11.539,11.594,12.037,11.864
2002,11.498,11.592,11.713,11.878
2003,11.374,11.586,11.497,11.907
2004,11.243,11.581,11.505,11.913
2005,11.132,11.576,11.669,11.900
2006,11.029,11.571,11.474,11.872
2007,10.910,11.566,11.647,11.821
2008,10.890,11.565,11.839,11.810
2009,10.932,11.567,12.063,11.831
2010,10.730,11.558,11.813,11.705
2011,10.623,11.553,11.927,11.615
2012,10.576,11.551,11.904,11.570
2013,10.505,11.548,11.658,11.497
2014,10.484,11.547,11.700,11.474
2015,10.497,11.548,11.995,11.488
2016,10.485,11.547,11.572,11.474
2017,10.422,11.544,11.081,11.401
2018,10.328,11.540,11.288,11.281
2019,10.318,11.540,11.133,11.269
2020,10.512,11.548,11.063,11.504
2021,10.313,11.540,11.289,11.261
2022,10.300,11.539,11.209,11.244
2023,10.221,11.535,11.230,11.131
