Year,Estim_North_linReg,Estim_South_LinReg,Estim_South_multiReg
1979,12.148,11.620,11.579
1980,12.173,11.622,11.009
1981,12.211,11.623,11.131
1982,12.236,11.624,11.724
1983,12.221,11.624,11.648
1984,12.157,11.621,11.590
1985,12.130,11.620,11.598
1986,12.094,11.618,11.695
1987,12.027,11.615,11.596
1988,11.950,11.612,11.770
1989,11.911,11.610,11.395
1990,11.879,11.609,11.424
1991,11.866,11.608,11.255
1992,11.876,11.608,11.525
1993,11.867,11.608,11.441
1994,11.843,11.607,11.568
1995,11.778,11.604,11.709
1996,11.731,11.602,11.778
1997,11.685,11.600,11.416
1998,11.669,11.599,12.099
1999,11.650,11.598,11.975
2000,11.570,11.595,12.052
2001,11.539,11.594,12.037
2002,11.498,11.592,11.713
2003,11.374,11.586,11.497
2004,11.243,11.581,11.505
2005,11.132,11.576,11.669
2006,11.029,11.571,11.474
2007,10.910,11.566,11.647
2008,10.890,11.565,11.839
2009,10.932,11.567,12.063
2010,10.730,11.558,11.813
2011,10.623,11.553,11.927
2012,10.576,11.551,11.904
2013,10.505,11.548,11.658
2014,10.484,11.547,11.700
2015,10.497,11.548,11.995
2016,10.485,11.547,11.572
2017,10.422,11.544,11.081
2018,10.328,11.540,11.288
2019,10.318,11.540,11.133
2020,10.512,11.548,11.063
2021,10.313,11.540,11.289
2022,10.300,11.539,11.209
2023,10.221,11.535,11.230
