CO2_Mass,Year
20031861.684352234,1979
19782508.869701494,1980
19411724.494795762,1981
19164990.175102968,1982
19310267.766172145,1983
19942496.821868327,1984
20206562.67328064,1985
20565535.23321909,1986
21224640.642712153,1987
21984330.890672613,1988
22370547.936871074,1989
22680407.6458686,1990
22809536.297636565,1991
22709743.81823781,1992
22802889.536558095,1993
23033288.26242847,1994
23679355.68549968,1995
24145461.586694837,1996
24598165.501864612,1997
24756320.524813693,1998
24939616.698501512,1999
25725448.476800583,2000
26031174.557958066,2001
26433301.439334642,2002
27656832.702826753,2003
28948758.323006198,2004
30044555.31704507,2005
31065108.163357932,2006
32232530.428789806,2007
32431271.4631937,2008
32020697.928627826,2009
34003670.76736887,2010
35059589.72836099,2011
35521729.03371658,2012
36221159.83302197,2013
36427790.94866711,2014
36300490.649315454,2015
36423675.57383895,2016
37047484.709558554,2017
37974568.19275193,2018
38066450.527421184,2019
36154321.504134,2020
38121029.7863798,2021
38246638.94134803,2022
39023952.7073468,2023
