Year,Estim_North_linReg,Estim_South_LinReg,Estim_South_polyReg
1979,12.148,11.620,276282294304806497268269056.000
1980,12.173,11.622,272843184709871441037754368.000
1981,12.211,11.623,267729273711207227783643136.000
1982,12.236,11.624,264326278772313978400931840.000
1983,12.221,11.624,266329968035155727479734272.000
1984,12.157,11.621,275049761371705538781380608.000
1985,12.130,11.620,278691795268771435933335552.000
1986,12.094,11.618,283642796030210225454710784.000
1987,12.027,11.615,292733271872787449854820352.000
1988,11.950,11.612,303211028157988695405756416.000
1989,11.911,11.610,308537788760907998520410112.000
1990,11.879,11.609,312811418075218226947555328.000
1991,11.866,11.608,314592378863241630853365760.000
1992,11.876,11.608,313216026749938618781925376.000
1993,11.867,11.608,314500705786151164891365376.000
1994,11.843,11.607,317678397884439497355034624.000
1995,11.778,11.604,326589051958151512691048448.000
1996,11.731,11.602,333017651046962096353837056.000
1997,11.685,11.600,339261408032443654882721792.000
1998,11.669,11.599,341442704673001695067766784.000
1999,11.650,11.598,343970751651447134744477696.000
2000,11.570,11.595,354809055652701721258360832.000
2001,11.539,11.594,359025673382095638407151616.000
2002,11.498,11.592,364571864701654455843553280.000
2003,11.374,11.586,381446982449463076637900800.000
2004,11.243,11.581,399265404922555309217546240.000
2005,11.132,11.576,414378793402162292407140352.000
2006,11.029,11.571,428454403861217623077289984.000
2007,10.910,11.566,444555658302684826058096640.000
2008,10.890,11.565,447296723003651171974905856.000
2009,10.932,11.567,441634034238217990577324032.000
2010,10.730,11.558,468983478541712101541412864.000
2011,10.623,11.553,483546863500122429350477824.000
2012,10.576,11.551,489920754733197837318750208.000
2013,10.505,11.548,499567404105307147496062976.000
2014,10.484,11.547,502417289932434061421182976.000
2015,10.497,11.548,500661546041788170820911104.000
2016,10.485,11.547,502360530095661792289095680.000
2017,10.422,11.544,510964194694621118366482432.000
2018,10.328,11.540,523750662362218725487149056.000
2019,10.318,11.540,525017916630868805715755008.000
2020,10.512,11.548,498645560337431480212914176.000
2021,10.313,11.540,525770681557272130886828032.000
2022,10.300,11.539,527503100943305504418955264.000
2023,10.221,11.535,538223923303645813497921536.000
